Order_ID,Date,Customer_Segment,Drone_Model,Delivery_Time_Min,Order_Value_USD,Distance_KM,Weather_Condition,Traffic_Density,Customer_Rating,Kitchen_ID,Promo_Code_Used,Refund_Issued,Late_Delivery
NN-1073,2025-04-12,Corporate,Swft-X,40,284.88,6.9,Clear,High,,KITCH-3,Yes,No,True
NN-1074,2025-09-24,Individual,Swift-X,-1,57.18,2.91,High Winds,Low,1.0,KITCH-5,Yes,No,False
NN-1075,2025-01-07,,Heavy-Lift,33,134.82,7.16,Stormy,Low,3.0,KITCH-4,No,Yes,False
NN-1076,2025-11-14,Individual,Swft-X,25,263.43,2.24,Stormy,Medium,5.0,KITCH-4,No,Yes,False
NN-1077,2025-11-17,VIP,Swft-X,22,145.99,2.61,Rainy,High,4.0,KITCH-1,No,Yes,False
NN-1078,2025-07-10,Individual,Swift-X,25,95.79,7.15,Rainy,Low,1.0,KITCH-4,Yes,No,False
NN-1079,2025-07-08,,Swft-X,5,153.32,5.57,Rainy,Medium,4.0,KITCH-5,No,No,False
NN-1080,2025-03-28,VIP,Swft-X,22,143.32,14.44,Rainy,High,1.0,KITCH-3,No,Yes,False
NN-1081,2025-09-01,Individual,Swift-X,28,278.43,6.57,Clear,Medium,4.0,KITCH-2,Yes,Yes,False
NN-1082,2025-11-12,,Swft-X,39,239.29,12.04,Stormy,Medium,5.0,KITCH-1,Yes,Yes,True
NN-1083,2025-03-15,Corporate,Eco-Glide,19,173.8,8.78,Rainy,Medium,1.0,KITCH-2,No,Yes,False
NN-1084,2025-08-31,,Heavy-Lift,16,297.03,11.27,Clear,Medium,5.0,KITCH-2,Yes,No,False
NN-1085,2025-01-29,,Heavy-Lift,19,163.65,4.92,Clear,High,2.0,KITCH-3,Yes,No,False
NN-1086,2025-04-19,VIP,Swift-X,34,59.85,14.67,High Winds,Low,3.0,KITCH-5,No,Yes,False
NN-1087,2025-11-08,VIP,Eco-Glide,28,111.88,8.78,High Winds,High,1.0,KITCH-1,Yes,Yes,False
NN-1088,2025-02-20,Corporate,Eco-Glide,19,156.2,13.09,Clear,High,2.0,KITCH-4,No,Yes,False
NN-1089,2025-01-29,Corporate,Swft-X,30,85.01,6.42,Clear,Medium,3.0,KITCH-1,Yes,No,False
NN-1090,2025-10-01,,Eco-Glide,25,286.63,2.63,High Winds,Medium,,KITCH-1,Yes,No,False
NN-1091,2025-08-31,Corporate,Heavy-Lift,34,240.55,10.83,High Winds,Medium,,KITCH-3,Yes,Yes,False
NN-1092,2025-03-17,,Swift-X,17,113.41,1.31,Clear,Medium,4.0,KITCH-2,Yes,Yes,False
NN-1093,2025-12-15,,Swift-X,21,195.66,8.0,Clear,Low,4.0,KITCH-3,No,Yes,False
NN-1094,2025-06-25,Corporate,Swift-X,21,228.97,3.96,Clear,Low,1.0,KITCH-4,No,Yes,False
NN-1095,2025-08-12,VIP,Swift-X,10,285.03,10.17,Clear,Low,,KITCH-4,Yes,No,False
NN-1096,2025-01-31,VIP,Eco-Glide,27,269.82,15.21,Stormy,Medium,5.0,KITCH-4,Yes,No,False
NN-1097,2025-11-07,Corporate,Heavy-Lift,27,176.37,7.84,Clear,Medium,4.0,KITCH-1,No,Yes,False
NN-1098,2025-05-08,Individual,Swft-X,25,242.54,12.89,Rainy,High,2.0,KITCH-3,No,No,False
NN-1099,2025-10-08,Individual,Swift-X,22,188.35,8.46,Rainy,High,,KITCH-1,No,No,False
NN-1100,2025-04-08,VIP,Swft-X,10,185.94,8.29,Clear,Low,3.0,KITCH-3,No,No,False
NN-1101,2025-09-30,Corporate,Heavy-Lift,20,74.26,14.51,Rainy,Low,3.0,KITCH-1,No,Yes,False
NN-1102,2025-07-21,,Swift-X,21,77.17,13.93,High Winds,High,1.0,KITCH-4,Yes,No,False
NN-1103,2025-10-31,VIP,Swft-X,16,180.03,12.44,Clear,High,5.0,KITCH-1,Yes,Yes,False
NN-1104,2025-05-30,,Swft-X,23,113.56,5.44,High Winds,Low,,KITCH-1,Yes,Yes,False
NN-1105,2025-11-28,Corporate,Heavy-Lift,29,50.36,8.99,Stormy,Low,3.0,KITCH-1,Yes,No,False
NN-1106,2025-11-30,,Heavy-Lift,43,229.32,4.4,Stormy,Low,,KITCH-1,No,No,True
NN-1107,2025-02-06,VIP,Swift-X,26,53.28,7.55,Clear,High,2.0,KITCH-1,No,Yes,False
NN-1108,2025-11-06,,Eco-Glide,27,196.8,8.12,Clear,Medium,4.0,KITCH-2,No,Yes,False
NN-1109,2025-07-15,VIP,Swft-X,24,182.49,13.09,Rainy,Low,1.0,KITCH-5,Yes,No,False
NN-1110,2025-02-19,VIP,Swft-X,5,292.05,14.01,Clear,Low,2.0,KITCH-3,Yes,Yes,False
NN-1111,2025-02-12,Corporate,Heavy-Lift,999,168.47,7.13,Clear,High,2.0,KITCH-1,No,Yes,True
NN-1112,2025-01-26,Corporate,Heavy-Lift,25,61.22,1.45,Clear,Medium,1.0,KITCH-2,No,No,False
NN-1113,2025-08-16,Corporate,Heavy-Lift,49,185.68,13.52,High Winds,Low,,KITCH-3,Yes,No,True
NN-1114,2025-07-12,,Swift-X,23,259.48,3.69,Clear,High,3.0,KITCH-2,Yes,No,False
NN-1115,2025-03-02,Individual,Swft-X,28,299.2,10.09,Stormy,High,1.0,KITCH-2,Yes,No,False
NN-1116,2025-11-16,VIP,Swft-X,24,154.74,1.56,High Winds,Medium,4.0,KITCH-4,Yes,No,False
NN-1117,2025-11-25,Corporate,Eco-Glide,13,126.68,6.91,Rainy,Medium,,KITCH-2,Yes,No,False
NN-1118,2025-06-10,Individual,Swft-X,36,276.2,15.3,High Winds,High,4.0,KITCH-2,No,No,True
NN-1119,2025-10-23,Individual,Swift-X,32,93.77,2.64,Clear,Medium,,KITCH-5,Yes,No,False
NN-1120,2025-12-21,Individual,Swft-X,32,201.93,7.26,Clear,High,,KITCH-2,Yes,Yes,False
NN-1121,2025-07-26,Corporate,Swift-X,15,148.46,5.59,Stormy,Medium,5.0,KITCH-3,No,Yes,False
NN-1122,2025-01-18,Corporate,Swft-X,39,55.48,14.14,High Winds,Medium,3.0,KITCH-4,Yes,Yes,True
NN-1123,2025-04-22,Individual,Swft-X,10,133.56,13.63,Stormy,High,4.0,KITCH-3,Yes,Yes,False
NN-1124,2025-09-27,Individual,Heavy-Lift,30,112.63,4.6,Clear,Low,2.0,KITCH-3,No,Yes,False
NN-1125,2025-01-08,,Eco-Glide,46,219.95,2.36,Stormy,High,2.0,KITCH-1,No,Yes,True
NN-1126,2025-03-20,Corporate,Swift-X,15,286.94,10.17,Clear,Medium,4.0,KITCH-4,No,No,False
NN-1127,2025-02-06,,Swift-X,19,113.35,6.01,High Winds,High,5.0,KITCH-2,No,No,False
NN-1128,2025-10-02,,Swift-X,25,251.92,10.81,Clear,High,,KITCH-2,Yes,No,False
NN-1129,2025-10-05,VIP,Swift-X,19,59.12,1.66,Rainy,Low,4.0,KITCH-5,Yes,Yes,False
NN-1130,2025-12-06,Corporate,Swift-X,9,182.22,3.11,Clear,High,5.0,KITCH-5,Yes,Yes,False
NN-1131,2025-07-14,Corporate,Eco-Glide,25,62.99,11.02,Rainy,Low,3.0,KITCH-2,Yes,Yes,False
NN-1132,2025-03-05,Individual,Swift-X,14,283.18,4.24,Stormy,High,4.0,KITCH-5,No,Yes,False
NN-1133,2025-05-14,Corporate,Swft-X,29,240.42,13.46,High Winds,Low,3.0,KITCH-1,No,Yes,False
NN-1134,2025-02-18,Corporate,Swift-X,15,212.78,2.04,Clear,Low,5.0,KITCH-2,No,No,False
NN-1135,2025-04-13,Individual,Swift-X,40,255.09,4.28,Clear,Low,3.0,KITCH-5,No,Yes,True
NN-1136,2025-07-26,,Heavy-Lift,17,210.12,15.48,High Winds,Low,3.0,KITCH-5,Yes,Yes,False
NN-1137,2025-04-17,Corporate,Swft-X,21,292.08,7.39,Rainy,Medium,1.0,KITCH-5,No,Yes,False
NN-1138,2025-12-10,Corporate,Swft-X,33,227.06,11.25,Clear,High,1.0,KITCH-2,Yes,Yes,False
NN-1139,2025-10-13,VIP,Heavy-Lift,12,280.79,3.81,Stormy,High,3.0,KITCH-3,Yes,Yes,False
NN-1140,2025-12-25,,Swft-X,27,176.87,9.92,Stormy,Low,3.0,KITCH-1,No,Yes,False
NN-1141,2025-12-17,Corporate,Swft-X,38,74.85,11.58,High Winds,High,4.0,KITCH-1,Yes,No,True
NN-1142,2025-04-25,VIP,Eco-Glide,8,179.69,5.7,Clear,High,4.0,KITCH-5,No,Yes,False
NN-1143,2025-10-12,Individual,Heavy-Lift,26,77.35,13.05,High Winds,High,1.0,KITCH-1,No,Yes,False
NN-1144,2025-02-09,Individual,Eco-Glide,27,196.09,9.83,Clear,High,,KITCH-1,Yes,No,False
NN-1145,2025-02-02,Individual,Heavy-Lift,32,168.04,6.76,High Winds,Medium,3.0,KITCH-1,Yes,Yes,False
NN-1146,2025-11-05,Corporate,Swft-X,12,203.76,9.17,Stormy,High,,KITCH-5,Yes,No,False
NN-1147,2025-02-10,Corporate,Heavy-Lift,11,47.56,9.45,Rainy,High,1.0,KITCH-4,No,No,False
NN-1148,2025-01-13,,Eco-Glide,30,94.68,3.57,Clear,Low,2.0,KITCH-4,No,No,False
NN-1149,2025-10-18,Individual,Swift-X,27,-170.29,6.96,Rainy,Low,3.0,KITCH-2,No,No,False
NN-1150,2025-01-27,Corporate,Eco-Glide,27,287.38,6.11,Clear,Medium,5.0,KITCH-2,No,Yes,False
NN-1151,2025-08-10,,Swift-X,28,142.82,6.93,High Winds,Low,1.0,KITCH-3,Yes,Yes,False
NN-1152,2025-04-21,Corporate,Eco-Glide,18,153.21,12.08,Stormy,High,,KITCH-4,No,Yes,False
NN-1153,2025-01-26,Corporate,Swft-X,27,227.25,8.1,Clear,Low,1.0,KITCH-4,Yes,No,False
NN-1154,2025-03-31,Individual,Swft-X,27,198.97,14.65,Clear,Medium,3.0,KITCH-4,No,Yes,False
NN-1155,2025-02-05,,Heavy-Lift,17,121.23,5.4,Stormy,High,2.0,KITCH-2,No,No,False
NN-1156,2025-11-26,,Swft-X,43,149.76,7.14,Clear,Low,1.0,KITCH-1,No,Yes,True
NN-1157,2025-11-19,,Eco-Glide,29,100.51,12.45,Rainy,High,5.0,KITCH-1,Yes,No,False
NN-1158,2025-04-12,VIP,Swft-X,13,291.34,9.01,High Winds,Medium,1.0,KITCH-1,No,No,False
NN-1159,2025-08-15,Individual,Eco-Glide,31,78.31,9.02,Rainy,High,1.0,KITCH-2,No,No,False
NN-1160,2025-08-16,Individual,Swift-X,15,139.82,1.96,Clear,Low,4.0,KITCH-2,Yes,No,False
NN-1161,2025-05-20,Corporate,Eco-Glide,32,51.59,6.9,Clear,Low,5.0,KITCH-2,No,Yes,False
NN-1162,2025-05-15,Corporate,Swft-X,36,101.55,5.07,Clear,High,2.0,KITCH-4,No,Yes,True
NN-1163,2025-01-03,,Swift-X,16,244.02,15.49,Rainy,High,5.0,KITCH-4,Yes,No,False
NN-1164,2025-09-17,VIP,Swift-X,34,96.3,5.61,Clear,Medium,,KITCH-2,No,No,False
NN-1165,2025-02-15,,Swft-X,29,65.42,13.85,High Winds,Low,1.0,KITCH-1,Yes,No,False
NN-1166,2025-04-25,VIP,Heavy-Lift,33,165.99,10.87,Clear,High,4.0,KITCH-4,Yes,Yes,False
NN-1167,2025-11-03,Individual,Swift-X,43,47.54,6.08,High Winds,Low,5.0,KITCH-3,Yes,No,True
NN-1168,2025-12-25,VIP,Swift-X,22,66.62,8.97,Rainy,Low,2.0,KITCH-1,No,Yes,False
NN-1169,2025-03-15,Individual,Eco-Glide,17,250.94,13.22,Clear,Low,2.0,KITCH-3,Yes,Yes,False
NN-1170,2025-12-14,Corporate,Swift-X,16,241.73,13.83,High Winds,Low,3.0,KITCH-3,Yes,No,False
NN-1171,2025-06-08,VIP,Swft-X,16,-278.36,3.49,Stormy,Low,5.0,KITCH-2,Yes,Yes,False
NN-1172,2025-01-06,VIP,Eco-Glide,24,262.9,6.06,High Winds,Medium,5.0,KITCH-3,Yes,Yes,False
NN-1173,2025-02-04,Individual,Heavy-Lift,28,219.21,5.99,Clear,Low,,KITCH-4,No,Yes,False
NN-1174,2025-05-27,,Swift-X,27,58.34,1.8,High Winds,High,1.0,KITCH-3,No,Yes,False
NN-1175,2025-03-08,,Swft-X,33,244.63,9.75,Clear,Medium,5.0,KITCH-3,Yes,Yes,False
NN-1176,2025-04-07,Individual,Heavy-Lift,25,260.61,13.42,Clear,Medium,,KITCH-1,Yes,No,False
NN-1177,2025-06-24,Corporate,Heavy-Lift,39,248.77,6.66,Clear,High,5.0,KITCH-5,No,No,True
NN-1178,2025-07-20,,Swift-X,22,174.66,11.78,Rainy,Medium,1.0,KITCH-3,No,No,False
NN-1179,2025-01-16,VIP,Swift-X,52,104.39,10.18,High Winds,Low,3.0,KITCH-5,No,No,True
NN-1180,2025-12-14,Corporate,Swift-X,31,260.56,6.57,Clear,Medium,5.0,KITCH-4,Yes,No,False
NN-1181,2025-10-21,Individual,Heavy-Lift,16,230.43,3.22,Stormy,Medium,3.0,KITCH-3,No,Yes,False
NN-1182,2025-12-25,VIP,Heavy-Lift,14,295.09,11.34,Rainy,Medium,2.0,KITCH-4,No,No,False
NN-1183,2025-12-12,Corporate,Eco-Glide,29,84.7,13.42,High Winds,Medium,5.0,KITCH-5,Yes,Yes,False
NN-1184,2025-06-30,Corporate,Eco-Glide,22,102.54,11.01,Clear,Low,4.0,KITCH-5,Yes,No,False
NN-1185,2025-08-29,,Heavy-Lift,32,99.01,1.46,High Winds,Low,1.0,KITCH-1,No,Yes,False
NN-1186,2025-10-10,VIP,Heavy-Lift,29,247.1,4.29,Clear,Medium,1.0,KITCH-4,No,No,False
NN-1187,2025-01-06,,Eco-Glide,24,92.66,2.19,Clear,Low,,KITCH-3,Yes,No,False
NN-1188,2025-09-05,VIP,Swft-X,16,62.0,9.36,High Winds,Medium,1.0,KITCH-3,No,No,False
NN-1189,2025-02-27,Corporate,Swft-X,9,299.63,12.02,Clear,High,3.0,KITCH-3,Yes,Yes,False
NN-1190,2025-04-26,Corporate,Swft-X,20,51.33,2.78,Rainy,Medium,1.0,KITCH-2,No,No,False
NN-1191,2025-11-10,VIP,Eco-Glide,33,-257.99,13.19,Clear,High,4.0,KITCH-1,No,No,False
NN-1192,2025-09-06,Individual,Heavy-Lift,27,138.17,9.14,Clear,Medium,3.0,KITCH-2,No,Yes,False
NN-1193,2025-11-28,Individual,Swift-X,12,259.61,11.07,Clear,Medium,2.0,KITCH-1,Yes,No,False
NN-1194,2025-01-17,,Swft-X,999,186.43,15.09,Stormy,Medium,1.0,KITCH-5,No,No,True
NN-1195,2025-07-29,Corporate,Swift-X,28,274.92,2.4,Stormy,Medium,3.0,KITCH-4,No,Yes,False
NN-1196,2025-09-09,,Eco-Glide,16,281.18,14.09,Clear,High,2.0,KITCH-5,No,Yes,False
NN-1197,2025-03-24,VIP,Swft-X,26,47.32,3.0,High Winds,Medium,1.0,KITCH-5,Yes,No,False
NN-1198,2025-11-03,VIP,Eco-Glide,25,64.23,6.82,Clear,Low,4.0,KITCH-5,Yes,Yes,False
NN-1199,2025-05-29,VIP,Eco-Glide,13,108.84,13.38,Stormy,Low,3.0,KITCH-2,Yes,Yes,False
NN-1200,2025-07-04,Individual,Heavy-Lift,28,215.68,14.16,Stormy,Medium,2.0,KITCH-5,Yes,Yes,False
NN-1201,2025-12-13,VIP,Eco-Glide,30,271.51,8.44,Clear,Low,5.0,KITCH-5,No,No,False
NN-1202,2025-12-10,Individual,Swft-X,35,162.29,9.7,High Winds,Medium,3.0,KITCH-2,No,No,False
NN-1203,2025-10-03,Individual,Swift-X,35,199.78,11.33,Clear,Low,3.0,KITCH-1,No,Yes,False
NN-1204,2025-03-21,Corporate,Swift-X,11,93.07,13.11,Clear,Low,3.0,KITCH-4,Yes,No,False
NN-1205,2025-12-08,VIP,Heavy-Lift,15,250.27,2.94,Rainy,High,4.0,KITCH-5,Yes,No,False
NN-1206,2025-10-24,Corporate,Swift-X,30,291.67,12.78,High Winds,Medium,,KITCH-2,No,No,False
NN-1207,2025-06-25,Corporate,Heavy-Lift,30,113.49,8.08,Clear,High,4.0,KITCH-1,Yes,No,False
NN-1208,2025-03-23,VIP,Heavy-Lift,30,171.18,7.64,Rainy,Medium,1.0,KITCH-5,No,No,False
NN-1209,2025-06-30,Corporate,Heavy-Lift,63,66.96,7.26,High Winds,Low,3.0,KITCH-1,Yes,No,True
NN-1210,2025-02-10,Individual,Swift-X,30,187.58,8.48,Clear,Low,1.0,KITCH-5,Yes,No,False
NN-1211,2025-09-12,VIP,Swift-X,36,173.21,14.71,Clear,Low,2.0,KITCH-3,Yes,Yes,True
NN-1212,2025-11-15,,Swft-X,34,81.83,9.04,Clear,Medium,1.0,KITCH-2,No,Yes,False
NN-1213,2025-11-27,VIP,Heavy-Lift,31,157.73,14.83,Rainy,High,4.0,KITCH-1,Yes,No,False
NN-1214,2025-11-19,,Swft-X,21,130.2,3.78,Stormy,High,5.0,KITCH-3,Yes,Yes,False
NN-1215,2025-04-05,Corporate,Heavy-Lift,32,178.07,11.56,Rainy,Medium,,KITCH-3,Yes,No,False
NN-1216,2025-12-17,Corporate,Eco-Glide,17,194.34,12.82,High Winds,High,,KITCH-2,Yes,No,False
NN-1217,2025-06-21,VIP,Swft-X,22,47.17,10.91,High Winds,Low,3.0,KITCH-2,No,No,False
NN-1218,2025-06-25,,Eco-Glide,20,239.06,9.88,Stormy,High,1.0,KITCH-1,Yes,No,False
NN-1219,2025-01-28,VIP,Swft-X,25,226.82,9.28,Stormy,Medium,,KITCH-2,No,No,False
NN-1220,2025-11-11,VIP,Heavy-Lift,48,138.4,13.51,Clear,High,4.0,KITCH-4,No,Yes,True
NN-1221,2025-04-09,VIP,Swift-X,6,58.5,12.95,High Winds,Medium,4.0,KITCH-4,Yes,Yes,False
NN-1222,2025-03-04,Corporate,Eco-Glide,31,237.51,2.95,Rainy,Low,1.0,KITCH-1,Yes,No,False
NN-1223,2025-12-09,Individual,Swift-X,8,288.57,13.33,Rainy,High,,KITCH-4,No,No,False
NN-1224,2025-08-19,VIP,Swft-X,20,106.24,7.12,Rainy,Medium,3.0,KITCH-5,Yes,No,False
NN-1225,2025-11-02,Individual,Swift-X,35,127.5,4.83,Stormy,Low,,KITCH-1,Yes,Yes,False
NN-1226,2025-07-01,Corporate,Heavy-Lift,25,91.87,13.64,Clear,High,,KITCH-2,Yes,No,False
NN-1227,2025-11-13,Corporate,Heavy-Lift,14,192.12,7.38,Clear,Medium,,KITCH-5,No,No,False
NN-1228,2025-05-07,Individual,Swft-X,17,84.48,12.76,Clear,Low,5.0,KITCH-1,No,Yes,False
NN-1229,2025-07-01,,Swift-X,31,135.83,4.97,Clear,High,1.0,KITCH-5,Yes,No,False
